id_user,created_at,username,verified,followers,following,tweet_count,listed_count,cant_tweets_muestra,rt,vreplicas,likes,rtquotes
942933503003459584,2017-12-19T01:44:00.000Z,OkTuirer,False,794,1429,7438,6,79,154,51,984,16
870699559856488448,2017-06-02T17:52:06.000Z,ChristaKrings,False,914,1880,8432,0,7,3,3,70,1
285794009,2011-04-21T20:04:12.000Z,araffan94,False,1172,907,13252,5,1,0,0,10,0
1096997188155117568,2019-02-17T04:58:05.000Z,rididejin,False,21,129,139,0,11,25,3,113,2
125486723,2010-03-23T00:03:22.000Z,castilloreyna,False,643,1009,196491,1,877,135,270,1208,15
2371515725,2014-02-28T18:03:57.000Z,ZepedaAura,False,103,662,35,0,1,0,0,0,0
263013134,2011-03-09T05:44:18.000Z,ronny_villatoro,False,176,922,1421,1,7,0,1,2,0
2275637714,2014-01-04T06:00:36.000Z,berny_gtrs7,False,98,577,1662,1,62,4,1,32,1
2789106516,2014-09-04T04:41:58.000Z,maajogar,False,150,273,3601,0,10,1,2,10,0
511138927,2012-03-02T01:04:32.000Z,gaddi27,False,248,356,25969,0,121,4,37,213,0
234239214,2011-01-05T04:39:42.000Z,Joselop3z,False,165,404,7731,0,5,0,4,2,0
73518112,2009-09-11T23:45:39.000Z,Hablan2DeTo2,False,15105,13007,18722,16,2,0,0,0,0
2178907646,2013-11-06T22:35:32.000Z,suzietink,False,178,604,7604,0,3,0,1,0,0
3408186814,2015-08-08T03:31:55.000Z,EdduinArrue,False,107,40,532,0,25,4,0,24,0
2899115887,2014-11-14T06:32:13.000Z,Julio_LopCor,False,123,777,4576,2,19,2,7,10,0
318503947,2011-06-16T15:58:59.000Z,guichogaytan,False,379,1266,13454,0,452,15,157,259,7
2928710741,2014-12-18T00:52:39.000Z,azupretzencin,False,69,413,2487,2,9,0,1,5,0
52499342,2009-06-30T19:52:59.000Z,vandreadl,False,3569,1387,38929,27,196,18,199,829,14
118639757,2010-03-01T09:21:52.000Z,kokid951,True,86454,4809,39872,363,7,0,6,16,0
1285650214112690182,2020-07-21T18:58:10.000Z,Chavita37848153,False,126,1297,643,0,11,0,1,7,0
255313252,2011-02-21T03:12:32.000Z,ICharlize_,False,456,263,23993,0,3,11,0,29,0
1361150473164763136,2021-02-15T03:09:40.000Z,AndyAaron_,False,1,30,21,0,11,0,1,8,0
1290902222629478406,2020-08-05T06:48:01.000Z,Melissa37477201,False,18,61,178,0,29,0,0,4,0
312665197,2011-06-07T13:43:34.000Z,Princess_33637,False,130,484,1709,0,261,10,73,242,1
355687631,2011-08-15T18:54:12.000Z,EddirArt,False,641,311,1146,2,2,0,0,1,0
1445851358691725312,2021-10-06T20:40:33.000Z,Kristel62572302,False,0,2,4,0,2,0,0,2,0
762376283179274240,2016-08-07T19:54:04.000Z,MaxVasquez_MTV,False,58,143,79,0,1,0,0,1,0
